INFO:root:Loaded ViT-B-16-plus-240 model config.
DEBUG:root:Final score for YOU: 6
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for YOUTH: 16
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for YOGH: 11
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Final score for YOM: 16
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for HYTE: 14
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Final score for HA: 5
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Final score for HAY: 13
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for HAT: 6
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for HATE: 7
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for HAUNT: 13
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Final score for HAUL: 8
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for HAUT: 7
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 13
DEBUG:root:Final score for HAUTE: 13
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Applied length bonus, new score: 17
DEBUG:root:Final score for HAUGH: 17
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for HAO: 6
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for HAH: 9
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Final score for AY: 9
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for AT: 2
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for ATONE: 10
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied length bonus, new score: 17
DEBUG:root:Final score for ATONY: 17
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for ATE: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for ATOM: 12
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for AUNT: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied length bonus, new score: 17
DEBUG:root:Final score for AUNTY: 17
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for AUTO: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for AUGH: 8
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for AH: 5
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Final score for AN: 3
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Final score for AHOY: 10
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for OUT: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Final score for OUTA: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for OAT: 3
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied length bonus, new score: 10
DEBUG:root:Final score for OATEN: 10
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Final score for OATY: 11
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for OATH: 7
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for OH: 5
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Final score for OHM: 16
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 8
DEBUG:root:Final score for OM: 8
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for GUN: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Final score for GUL: 5
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GUT: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Final score for GUY: 7
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 14
DEBUG:root:Final score for GUYOT: 14
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Final score for GUAN: 6
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Applied length bonus, new score: 12
DEBUG:root:Final score for GUANO: 12
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for GO: 3
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GOT: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for GOTH: 8
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GOUT: 5
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied length bonus, new score: 18
DEBUG:root:Final score for GOUTY: 18
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Final score for GOA: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GOAT: 5
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied length bonus, new score: 18
DEBUG:root:Final score for GOATY: 18
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GHAT: 8
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 14
DEBUG:root:Final score for GHAUT: 14
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied length bonus, new score: 15
DEBUG:root:Final score for GHOUL: 15
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for HATH: 10
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Final score for NA: 3
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Final score for NAY: 11
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for NAH: 7
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Final score for NOUN: 5
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Final score for NOG: 5
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Final score for NOH: 7
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for NOM: 12
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Final score for HO: 5
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for HOT: 6
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied length bonus, new score: 14
DEBUG:root:Final score for HOTEL: 14
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Final score for HOY: 9
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 17
DEBUG:root:Final score for HOYLE: 17
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Final score for HOG: 7
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Final score for HON: 7
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Final score for HOM: 16
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Applied word multiplier, new score: 14
DEBUG:root:Final score for HM: 14
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 8
DEBUG:root:Final score for MO: 8
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 10
DEBUG:root:Final score for MOT: 10
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for MOTE: 12
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Applied length bonus, new score: 21
DEBUG:root:Final score for MOTEL: 21
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied word multiplier, new score: 20
DEBUG:root:Applied length bonus, new score: 25
DEBUG:root:Final score for MOTEY: 25
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Applied word multiplier, new score: 18
DEBUG:root:Final score for MOTH: 18
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied word multiplier, new score: 34
DEBUG:root:Applied length bonus, new score: 39
DEBUG:root:Final score for MOTHY: 39
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 14
DEBUG:root:Applied length bonus, new score: 19
DEBUG:root:Final score for MOUNT: 19
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for MOUE: 12
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Applied length bonus, new score: 26
DEBUG:root:Final score for MOUTON: 26
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Applied word multiplier, new score: 20
DEBUG:root:Applied length bonus, new score: 25
DEBUG:root:Final score for MOUTH: 25
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied DL bonus, new score: 8
DEBUG:root:Applied word multiplier, new score: 36
DEBUG:root:Applied length bonus, new score: 46
DEBUG:root:Final score for MOUTHY: 46
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 10
DEBUG:root:Final score for MOA: 10
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for MOAT: 12
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: A, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied word multiplier, new score: 14
DEBUG:root:Final score for MOAN: 14
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for MOG: 12
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied word multiplier, new score: 18
DEBUG:root:Applied length bonus, new score: 23
DEBUG:root:Final score for MOGUL: 23
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Letter: N, Base Score: 1
DEBUG:root:Applied DL bonus, new score: 2
DEBUG:root:Applied word multiplier, new score: 12
DEBUG:root:Final score for MON: 12
DEBUG:root:Letter: M, Base Score: 3
DEBUG:root:Applied DW bonus
DEBUG:root:Letter: H, Base Score: 4
DEBUG:root:Letter: O, Base Score: 1
DEBUG:root:Applied word multiplier, new score: 16
DEBUG:root:Final score for MHO: 16
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for GUDE: 10
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Applied TW bonus
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied word multiplier, new score: 24
DEBUG:root:Final score for GLEY: 24
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Final score for GED: 9
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for GET: 4
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied TL bonus, new score: 3
DEBUG:root:Final score for GETS: 7
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: F, Base Score: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for LEFT: 7
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: F, Base Score: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Applied length bonus, new score: 19
DEBUG:root:Final score for LEFTIE: 19
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: F, Base Score: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied TL bonus, new score: 3
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Applied length bonus, new score: 27
DEBUG:root:Final score for LEFTIST: 27
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: F, Base Score: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Applied length bonus, new score: 16
DEBUG:root:Final score for LEFTY: 16
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: F, Base Score: 4
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied TL bonus, new score: 3
DEBUG:root:Applied length bonus, new score: 15
DEBUG:root:Final score for LEFTS: 15
DEBUG:root:Letter: L, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: Y, Base Score: 4
DEBUG:root:Final score for LEY: 6
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Final score for ED: 7
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for EDIT: 9
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: I, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
DEBUG:root:Applied TL bonus, new score: 3
DEBUG:root:Applied length bonus, new score: 17
DEBUG:root:Final score for EDITS: 17
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for ET: 2
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: G, Base Score: 2
DEBUG:root:Final score for DUG: 9
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Final score for DUE: 8
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Final score for DUET: 9
DEBUG:root:Letter: D, Base Score: 2
DEBUG:root:Applied TL bonus, new score: 6
DEBUG:root:Letter: U, Base Score: 1
DEBUG:root:Letter: E, Base Score: 1
DEBUG:root:Letter: T, Base Score: 1
DEBUG:root:Letter: S, Base Score: 1
